id,codigo,nome,descricao,categoria_id,marca_id,calibre_id,tipo_id,funcionamento_id,preco_fornecedor,desconto_fornecedor,frete,margem,ipi,ipi_tipo,difal,imposto_venda,custo_total,preco_a_vista,lucro_liquido_real,lucro_alvo,preco_final,criado_em,atualizado_em,foto_url,promo_ativada,promo_preco_fornecedor,promo_data_inicio,promo_data_fim,slug,visivel_loja,estoque_disponivel,destaque_home,meta_title,meta_description,tags_palavras_chave,descricao_longa,especificacoes_tecnicas,eh_lancamento,eh_outdoor,requer_documentacao,descricao_comercial,nome_comercial
13,TAU00093,PIST TAURUS G2C 38TPC 2x12 3.26POL TAN,,2,1,2,1,2,3679.00,2.00,0.00,26.50,0.00,%_dentro,26.00,9.00,4542.83,6180.72,1081.63,0.00,0.00,2025-10-22 11:44:36.428398-03:00,2026-02-13 16:26:36.732862-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/13/77bae24fc4bc4c7ca581d398846c0775.png,True,0.00,,,pist-taurus-g2c-38tpc-2x12-326pol-tan,True,,,,,,,,,,,,
169,ROS00019,REVOLVER ROSSI RM 66 .38 SPL 6T 6POL CABO PP C TUNG,,1,9,1,1,1,5706.00,2.00,0.00,0.00,0.00,%,26.00,9.00,7045.77,8950.30,1099.00,1099.00,0.00,2025-11-01 10:33:05.895951-03:00,2026-02-13 16:26:36.733399-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/169/60ee162584fe4d93ac63e1ca5bd28ca5.png,,,,,revolver-rossi-rm-66-38-spl-6t-6pol-cabo-pp-c-tung,True,,,,,,,,,,,,
171,TAU00158,CARREGADOR G2C .40 10T,,19,1,10,14,1,186.00,2.00,0.00,45.00,0.00,%,26.00,9.00,229.67,417.59,150.33,0.00,417.59,2025-11-01 10:05:33.291056-03:00,2026-02-13 16:26:36.733404-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/171/f44708d822184753aaa75fc2afd006d1.png,,,,,carregador-g2c-40-10t,True,,,,,,,,,,,,
173,TAU00025,"PIST TAURUS G2C .40S&W 10T  3"" CAFO",,2,1,10,1,2,3890.00,2.00,0.00,0.00,0.00,%_dentro,26.00,9.00,4803.37,6486.12,1099.00,1099.00,0.00,2025-11-01 10:33:14.840125-03:00,2026-02-13 16:26:36.733410-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/173/0649705096cd40cdbb5c0a31b31ce9ee.png,True,0.00,,,pist-taurus-g2c-40sw-10t-3-cafo,True,,,,,,,,,,,,
174,TAU00029,"PIST TAURUS PT100 .40S&W 5"" TENEF",,2,1,10,1,2,6297.00,2.00,0.00,0.00,0.00,%,26.00,9.00,7775.54,9752.24,1099.00,1099.00,0.00,2025-11-01 10:33:15.651890-03:00,2026-02-13 16:26:36.733413-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/174/9e52dc77239d44ed91a8d8ca0e0ee049.png,,,,,pist-taurus-pt100-40sw-5-tenef,True,,,,,,,,,,,,
175,TAU00023,"PIST TAURUS TH40 .40S&W 4"" TENEF",,2,1,10,1,2,5324.00,2.00,0.00,0.00,0.00,%,26.00,9.00,6574.08,8431.95,1099.00,1099.00,0.00,2025-11-01 10:33:16.456195-03:00,2026-02-13 16:26:36.733416-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/175/7189b7e68fea4bc2bcaea95b7f829094.png,,,,,pist-taurus-th40-40sw-4-tenef,True,,,,,,,,,,,,
176,TAU00031,"PIST TAURUS TH40C .40S&W 3,5"" TENEF",,2,1,10,1,2,6064.00,2.00,0.00,0.00,0.00,%,26.00,9.00,7487.83,9436.07,1099.00,1099.00,0.00,2025-11-01 10:33:17.271636-03:00,2026-02-13 16:26:36.733419-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/176/2066da2926004e12a8481ee3f5a167e3.png,,,,,pist-taurus-th40c-40sw-35-tenef,True,,,,,,,,,,,,
177,10022299,"CAR PUMA LEVER ACT 44MAG 10T 20"" CANO RED INO (ROS00008)",,6,9,14,1,1,6902.72,2.00,0.00,20.00,0.00,%,26.00,9.00,8523.48,10654.35,1171.98,0.00,0.00,2025-11-01 10:33:45.631888-03:00,2026-02-13 16:26:36.733422-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/177/48fe6265a6af4313aa840231fd5edb40.png,False,0.00,,,car-puma-lever-act-44mag-10t-20-cano-red-ino-ros00008,True,,,,,,,,,,,,
178,TAU00231,"REV TAURUS RT 444 RACING BULL 44MAG 6T 6,5POL IN FOSC",,1,1,14,1,1,6537.61,2.00,0.00,0.00,0.00,%,26.00,9.00,8072.64,10078.73,1099.00,1099.00,0.00,2025-11-01 10:33:08.336304-03:00,2026-02-13 16:26:36.733425-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/178/61bd588a01fd4dbc9c2b16c1aad772bf.png,,,,,rev-taurus-rt-444-racing-bull-44mag-6t-65pol-in-fosc,True,,,,,,,,,,,,
179,TAU00217,"REV TAURUS RT 44H 44MAG 6T 8,3POL POLIM IN FOSC DUO TONE",,1,1,14,1,1,6925.00,2.00,0.00,0.00,0.00,%,26.00,9.00,8550.99,10604.38,1099.00,1099.00,0.00,2025-11-01 10:33:11.584172-03:00,2026-02-13 16:26:36.733428-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/179/d59446b4fbe8491eb7e61feab251f004.png,,,,,rev-taurus-rt-44h-44mag-6t-83pol-polim-in-fosc-duo-tone,True,,,,,,,,,,,,
